,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
67,2020-04-08T00:00:00.000Z,165.13,166.67,163.5,165.67,48318234,161.751923526,163.2604196335,160.1552685551,162.2808767065,48318234,0.0,1.0
68,2020-04-09T00:00:00.000Z,165.14,167.37,163.33,166.36,51431775,161.7617189552,163.9460996823,159.9887462575,162.9567613261,51431775,0.0,1.0
69,2020-04-13T00:00:00.000Z,165.51,165.57,162.3,164.35,41905264,162.1241498382,162.1829224138,158.9798170427,160.987880043,41905264,0.0,1.0
70,2020-04-14T00:00:00.000Z,173.7,173.75,168.0,169.0,52874338,170.1466064099,170.1955835562,164.5632117263,165.5427546532,52874338,0.0,1.0
71,2020-04-15T00:00:00.000Z,171.88,173.57,169.24,171.2,40940833,168.3638382828,170.0192658294,165.7778449557,167.6977490925,40940833,0.0,1.0
72,2020-04-16T00:00:00.000Z,177.04,177.28,172.9,174.3,50479610,173.4182797859,173.6533700883,169.3629720683,170.734332166,50479610,0.0,1.0
73,2020-04-17T00:00:00.000Z,178.6,180.0,175.87,179.5,52765625,174.9463667519,176.3177268496,172.2722145613,175.8279553861,52765625,0.0,1.0
74,2020-04-20T00:00:00.000Z,175.06,178.75,174.99,176.63,36669595,171.4787847905,175.0932981909,171.4102167856,173.0166671858,36669595,0.0,1.0
75,2020-04-21T00:00:00.000Z,167.82,173.67,166.11,173.5,56203749,164.3868939995,170.1172201221,162.7118755944,169.9506978245,56203749,0.0,1.0
76,2020-04-22T00:00:00.000Z,173.52,174.0,170.82,171.39,34651604,169.970288683,170.440469288,167.3255227803,167.8838622486,34651604,0.0,1.0
77,2020-04-23T00:00:00.000Z,171.42,175.06,170.91,174.11,32790804,167.9132485364,171.4787847905,167.4136816437,170.5482190099,32790804,0.0,1.0
78,2020-04-24T00:00:00.000Z,174.55,174.56,170.71,172.06,34305320,170.9792178978,170.989013327,167.2177730583,168.5401560097,34305320,0.0,1.0
79,2020-04-27T00:00:00.000Z,174.05,176.9,173.3,176.59,33194384,170.4894464343,173.2811437761,169.7547892391,172.9774854687,33194384,0.0,1.0
80,2020-04-28T00:00:00.000Z,169.81,175.67,169.39,175.59,34392694,166.3361844241,172.0763059759,165.9247763948,171.9979425418,34392694,0.0,1.0
81,2020-04-29T00:00:00.000Z,177.43,177.68,171.88,173.22,51286559,173.8003015274,174.0451872591,168.3638382828,169.6764258049,51286559,0.0,1.0
82,2020-04-30T00:00:00.000Z,179.21,180.4,176.23,180.0,53875857,175.5438879373,176.7095440204,172.624850015,176.3177268496,53875857,0.0,1.0
83,2020-05-01T00:00:00.000Z,174.57,178.64,174.01,175.8,39370474,170.9988087563,174.985548469,170.4502647172,172.2036465565,39370474,0.0,1.0
84,2020-05-04T00:00:00.000Z,178.84,179.0,173.8,174.49,30372862,175.1814570544,175.3381839227,170.2445607026,170.9204453222,30372862,0.0,1.0
85,2020-05-05T00:00:00.000Z,180.76,183.65,179.9,180.62,36839168,177.0621794741,179.8930585329,176.2197725569,176.9250434643,36839168,0.0,1.0
86,2020-05-06T00:00:00.000Z,182.54,184.2,181.63,182.08,32139299,178.805765884,180.4318071428,177.9143818205,178.3551761376,32139299,0.0,1.0
87,2020-05-07T00:00:00.000Z,183.6,184.55,182.58,184.17,28315992,179.8440813866,180.7746471672,178.8449476011,180.402420855,28315992,0.0,1.0
88,2020-05-08T00:00:00.000Z,184.68,185.0,183.36,184.98,30912638,180.9019877477,181.2154414843,179.6089910841,181.1958506258,30912638,0.0,1.0
89,2020-05-11T00:00:00.000Z,186.74,187.51,182.85,183.15,30892660,182.9198461772,183.6740942309,179.1094241914,179.4032870695,30892660,0.0,1.0
90,2020-05-12T00:00:00.000Z,182.51,187.04,182.3,186.8,32038199,178.7763795962,183.2137090553,178.5706755816,182.9786187528,32038199,0.0,1.0
91,2020-05-13T00:00:00.000Z,179.75,184.05,176.54,182.55,44711488,176.0728411179,180.2848757037,172.9285083224,178.8155613133,44711488,0.0,1.0
92,2020-05-14T00:00:00.000Z,180.53,180.69,175.68,177.54,41873911,176.8368846009,176.9936114692,172.0861014052,173.9080512493,41873911,0.0,1.0
93,2020-05-15T00:00:00.000Z,183.16,187.06,177.0,179.06,46610382,179.4130824987,183.2332999138,173.3790980688,175.3969564983,46610382,0.0,1.0
94,2020-05-18T00:00:00.000Z,184.91,186.2,183.96,185.75,35306620,181.1272826209,182.3908929967,180.1967168403,181.9500986795,35306620,0.0,1.0
95,2020-05-19T00:00:00.000Z,183.63,186.6,183.49,185.03,26799116,179.8734676744,182.7827101674,179.7363316646,181.2448277721,26799116,0.0,1.0
96,2020-05-20T00:00:00.000Z,185.66,185.85,183.94,184.81,31261334,182.3615067088,182.5481311098,180.6720647637,181.5266080732,31261334,0.51,1.0
97,2020-05-21T00:00:00.000Z,183.43,186.67,183.29,185.4,29032741,180.1711255823,183.3535627348,180.0336128658,182.1061259497,29032741,0.0,1.0
98,2020-05-22T00:00:00.000Z,183.51,184.46,182.54,183.19,20826898,180.2497042774,181.182826282,179.296937599,179.9353894969,20826898,0.0,1.0
99,2020-05-26T00:00:00.000Z,181.57,186.5,181.1,186.34,36073609,178.3441709206,183.1865830076,177.8825210868,183.0294256174,36073609,0.0,1.0
100,2020-05-27T00:00:00.000Z,181.81,181.99,176.6,180.2,39517146,178.579907006,178.75670907,173.4624694861,176.9985107666,39517146,0.0,1.0
101,2020-05-28T00:00:00.000Z,181.4,184.15,180.38,180.74,33831824,178.1771911935,180.8783338384,177.1753128307,177.5289169587,33831824,0.0,1.0
102,2020-05-29T00:00:00.000Z,183.25,184.27,180.41,182.73,42146720,179.9943235182,180.9962018811,177.2047798413,179.4835619999,42146720,0.0,1.0
103,2020-06-01T00:00:00.000Z,182.83,183.0,181.46,182.54,22668821,179.5817853688,179.748765096,178.2361252148,179.296937599,22668821,0.0,1.0
104,2020-06-02T00:00:00.000Z,184.91,185.0,181.35,184.25,30794585,181.6248314421,181.7132324741,178.128079509,180.9765572073,30794585,0.0,1.0
105,2020-06-03T00:00:00.000Z,185.36,185.94,183.58,184.82,27311016,182.0668366021,182.6365321418,180.3184606356,181.53643041,27311016,0.0,1.0
106,2020-06-04T00:00:00.000Z,182.92,185.84,182.3,184.3,28761809,179.6701864008,182.5383087729,179.0612015136,181.0256688917,28761809,0.0,1.0
107,2020-06-05T00:00:00.000Z,187.2,187.73,182.01,182.62,39893643,183.87414659,184.3947304452,178.7763537438,179.3755162941,39893643,0.0,1.0
108,2020-06-08T00:00:00.000Z,188.36,188.55,184.44,185.94,33211590,185.0135376693,185.2001620702,181.1631816082,182.6365321418,33211590,0.0,1.0
109,2020-06-09T00:00:00.000Z,189.8,190.7,187.26,188.0,29783916,186.4279541815,187.3119645017,183.9330806113,184.6599335412,29783916,0.0,1.0
